CountryName,Continent,TotalLanguagesSpoken,PrimaryOfficialLanguage,AvgLanguageSpread
Nicaragua,"North America",4,Spanish,24.98
Niue,Oceania,2,English,0.00
Netherlands,Europe,4,Dutch,25.25
Norway,Europe,5,Norwegian,19.56
Nepal,Asia,7,Nepali,12.40
Nauru,Oceania,5,Nauru,19.98
"New Zealand",Oceania,2,English,45.65
Oman,Asia,2,Arabic,38.35
Pakistan,Asia,8,Urdu,12.14
Panama,"North America",6,Spanish,16.55
Pitcairn,Oceania,1,NULL,0.00
Peru,"South America",3,Spanish,32.83
Philippines,Asia,10,Pilipino,8.80
Palau,Oceania,4,Palau,24.05
"Papua New Guinea",Oceania,2,NULL,49.05
Poland,Europe,4,Polish,25.00
"Puerto Rico","North America",2,Spanish,49.35
"North Korea",Asia,2,Korean,50.00
Portugal,Europe,1,Portuguese,99.00
Paraguay,"South America",4,Spanish,24.83
Palestine,Asia,2,NULL,50.00
"French Polynesia",Oceania,3,French,30.03
Qatar,Asia,2,Arabic,20.35
Réunion,Africa,5,NULL,19.70
Romania,Europe,6,Romanian,16.57
"Russian Federation",Europe,12,Russian,7.97
Rwanda,Africa,2,Rwanda,50.00
"Saudi Arabia",Asia,1,Arabic,95.00
Sudan,Africa,10,Arabic,9.08
Senegal,Africa,6,Wolof,15.40
Singapore,Asia,3,Tamil,32.87
"Saint Helena",Africa,1,English,0.00
"Svalbard and Jan Mayen",Europe,2,Norwegian,0.00
"Solomon Islands",Oceania,3,NULL,32.67
"Sierra Leone",Africa,8,NULL,11.80
"El Salvador","North America",2,Spanish,50.00
"San Marino",Europe,1,Italian,100.00
Somalia,Africa,2,Somali,49.15
"Saint Pierre and Miquelon","North America",1,French,0.00
"Sao Tome and Principe",Africa,2,NULL,43.50
Suriname,"South America",2,NULL,40.50
Slovakia,Europe,5,Slovak,19.90
Slovenia,Europe,3,Slovene,32.10
Sweden,Europe,6,Swedish,15.85
Swaziland,Africa,2,Swazi,45.95
Seychelles,Africa,3,French,32.13
Syria,Asia,2,Arabic,49.50
